$$FUSEN,4,0,0.0000000,0.0000000,0,29.56;27.31*9BEA
$$FUSEN,time, lat, lon, alt, 29.62;26.75 *checksum
$$FUSEN,time, lat, lon, alt, 29.62;26.69 *checksum
$$FUSEN,time, lat, lon, alt, 29.69;26.69 *checksum
$$FUSEN,time, lat, lon, alt, 29.75;26.62 *checksum
$$FUSEN,time, lat, lon, alt, 29.75;26.56 *checksum
$$FUSEN,time, lat, lon, alt, 29.81;26.00 *checksum
$$FUSEN,time, lat, lon, alt, 29.81;25.75 *checksum
$$FUSEN,time, lat, lon, alt, 29.81;25.44 *checksum
$$FUSEN,time, lat, lon, alt, 29.87;25.31 *checksum
$$FUSEN,time, lat, lon, alt, 29.87;25.25 *checksum
$$FUSEN,time, lat, lon, alt, 29.87;25.25 *checksum
$$FUSEN,time, lat, lon, alt, 29.94;25.25 *checksum
$$FUSEN,time, lat, lon, alt, 30.00;25.25 *checksum
$$FUSEN,time, lat, lon, alt, 30.00;25.19 *checksum
$$FUSEN,time, lat, lon, alt, 30.12;24.87 *checksum
$$FUSEN,time, lat, lon, alt, 30.19;24.69 *checksum
$$FUSEN,time, lat, lon, alt, 30.19;24.37 *checksum
$$FUSEN,time, lat, lon, alt, 30.25;24.06 *checksum
$$FUSEN,time, lat, lon, alt, 30.31;23.56 *checksum
$$FUSEN,time, lat, lon, alt, 30.31;23.06 *checksum
$$FUSEN,time, lat, lon, alt, 30.37;22.56 *checksum
$$FUSEN,time, lat, lon, alt, 30.44;22.06 *checksum
$$FUSEN,time, lat, lon, alt, 30.50;21.56 *checksum
$$FUSEN,time, lat, lon, alt, 30.50;21.00 *checksum
$$FUSEN,time, lat, lon, alt, 30.56;20.44 *checksum
$$FUSEN,time, lat, lon, alt, 30.56;19.87 *checksum
$$FUSEN,time, lat, lon, alt, 30.62;19.31 *checksum
$$FUSEN,time, lat, lon, alt, 30.62;18.81 *checksum
$$FUSEN,time, lat, lon, alt, 30.69;18.25 *checksum
$$FUSEN,time, lat, lon, alt, 30.69;17.75 *checksum
